ID,Species_common_name,Species_scientific_name,X,Y,Date,Time,Distance_m,dt_s,Speed_m_s,habitat_type,Year,Habitat_specialisation,Feeding_guild,Ground-foraging_behaviour_%,HWI,Animal_mass_g,timestamp
BB01,Northern Brownbul,Phyllastrephus strepitans,391477.0003,9843013,3/15/2016,13:30,36.34,600,0.06,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 13:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391442.6002,9843024.71,3/15/2016,13:40,43.96,600,0.07,Riverbed,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 13:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391599.1597,9843025.95,3/15/2016,15:00,107.52,600,0.18,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391496.72,9842993.28,3/15/2016,15:10,26.3,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391473.6996,9842980.56,3/15/2016,15:20,38.46,600,0.06,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391437.0999,9842992.39,3/15/2016,15:30,52.23,600,0.09,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391488.5403,9843001.46,3/15/2016,15:40,25.05,600,0.04,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391482.1206,9843025.67,3/15/2016,15:50,57.68,600,0.1,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 15:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391538.6196,9843014.08,3/15/2016,16:00,359.61,600,0.6,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 16:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391260.6304,9843242.2,3/15/2016,16:10,810.97,600,1.35,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 16:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391982.9997,9842873.61,3/15/2016,16:20,528.26,600,0.88,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 16:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391478.1506,9843029.12,3/15/2016,16:30,204.5,600,0.34,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 16:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391283.1295,9843090.67,3/15/2016,16:40,145.3,600,0.24,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 16:40
BB01,Northern Brownbul,Phyllastrephus strepitans,391379.9302,9842982.31,3/15/2016,16:50,127.59,600,0.21,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 16:50
BB01,Northern Brownbul,Phyllastrephus strepitans,391504.1901,9843011.26,3/15/2016,17:00,60.46,600,0.1,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 17:00
BB01,Northern Brownbul,Phyllastrephus strepitans,391483.9998,9842954.27,3/15/2016,17:10,83.63,600,0.14,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 17:10
BB01,Northern Brownbul,Phyllastrephus strepitans,391460.2903,9842874.07,3/15/2016,17:20,35.43,600,0.06,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/15/2016 17:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391528.4701,9843255.87,3/16/2016,7:20,152.41,600,0.25,Riparian thicket,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 7:20
BB01,Northern Brownbul,Phyllastrephus strepitans,391511.3703,9843104.42,3/16/2016,7:30,30.69,600,0.05,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 7:30
BB01,Northern Brownbul,Phyllastrephus strepitans,391523.22,9843076.11,3/16/2016,7:40,131.59,600,0.22,Agricultural land,2016,Generalist,Omnivores,50,9.54,29,3/16/2016 7:40
